,ADDRESS,STOPS,WEIGHT
3291,1200 DEAN KEETON,515,1.0
5033,13200 N 183,500,0.970873786407767
19640,7200 FM 2222 RD,481,0.9339805825242719
15592,5200 FM 2222,409,0.7941747572815534
22935,9000 N MOPAC EXPY,390,0.7572815533980582
5506,13600 N US 183 HWY NB,371,0.7203883495145631
5473,13600 N 183,365,0.7087378640776699
21220,8000 MANCHACA RD,323,0.6271844660194175
4442,12900 N 183,323,0.6271844660194175
1072,1000BL EAST DEAN KEETON,313,0.6077669902912621
16277,5600 E BEN WHITE BLVD SVRD EB,313,0.6077669902912621
15766,5300 N IH 35,295,0.5728155339805825
18816,700 BL EAST DEAN KEETON,287,0.5572815533980583
5484,13600 N IH 35,285,0.5533980582524272
512,100 W BRAKER LANE,273,0.5300970873786408
4463,12900 N US 183 HWY NB,272,0.5281553398058253
5061,13200 N US 183 HWY NB,251,0.487378640776699
16345,5600 S MOPAC,239,0.4640776699029126
11768,3400 ED BLUESTEIN BLVD,237,0.4601941747572815
27222,NORTH I-35 EF,218,0.42330097087378643
23178,9200 N MOPAC,218,0.42330097087378643
15998,5400 WEST GATE BLVD,213,0.41359223300970877
3042,11900 N IH 35,209,0.4058252427184466
22803,900 W PARMER,207,0.40194174757281553
3054,11900 N MOPAC EXPY,196,0.38058252427184464
5795,13800-13600 N IH 35 SVRD SB,192,0.37281553398058254
767,1000 E DEAN KEETON,189,0.36699029126213595
12274,3700 FM 2222,177,0.34368932038834954
19250,7000 E 290 SVRD WB,167,0.32427184466019415
5063,13200 N US 183 HWY SB,166,0.32233009708737864
23182,9200 N MOPAC EXPY NB,156,0.3029126213592233
12276,3700 FM2222,154,0.29902912621359223
2710,11500 N MOPAC EXPY,153,0.2970873786407767
5390,13500 RESEARCH BLVD NB,152,0.29514563106796116
6247,14100 AVERY RANCH BLVD,150,0.2912621359223301
19391,7100 BLOCK EAST US HIGHWAY 290,150,0.2912621359223301
5054,13200 N US 183,150,0.2912621359223301
6373,14600 N IH 35,149,0.28932038834951457
10507,2800 S IH 35,147,0.2854368932038835
4485,12900 RESEARCH BLVD NB,146,0.283495145631068
20711,7900 N LAMAR,146,0.283495145631068
5012,13200 BLOCK NORTH US HIGHWAY 183,144,0.2796116504854369
11324,3100 S US 183 HWY SB,144,0.2796116504854369
22430,8900 RESEARCH BLVD SVC,142,0.2757281553398058
15805,5300 S IH 35 SVRD,142,0.2757281553398058
2684,11500 FOUR IRON,141,0.2737864077669903
22932,9000 N MOPAC,132,0.2563106796116505
9090,2200 ENFIELD,130,0.2524271844660194
19944,7400 E BEN WHITE BLVD EB,128,0.24854368932038834
5481,13600 N I 35 SVRD,127,0.24660194174757283
16307,5600 N IH 35,127,0.24660194174757283
4829,13000 N US 183 HWY SB,126,0.2446601941747573
22661,900 BLOCK WEST PARMER LANE,124,0.2407766990291262
1818,1100 AIRPORT,124,0.2407766990291262
12283,3700 MANCHACA,123,0.23883495145631067
16666,5800 S MOPAC,123,0.23883495145631067
10870,300 E BRAKER LANE,121,0.23495145631067962
23432,9400 N LAMAR BLVD,121,0.23495145631067962
7900,1900 ED BLUESTEIN,120,0.23300970873786409
3696,12100 N IH 35,120,0.23300970873786409
5502,13600 N US 183,119,0.23106796116504855
5450,13600 BLOCK NORTH US HIGHWAY 183,118,0.229126213592233
13204,4000 S US HWY 183,116,0.22524271844660193
5085,13200 RESEARCH BLVD NB,113,0.21941747572815534
15424,5100 N IH 35,112,0.2174757281553398
19898,7400 BLOCK EAST US HIGHWAY 290,112,0.2174757281553398
643,1000 BLOCK EAST DEAN KEETON STREET,112,0.2174757281553398
5750,13800 S IH 35,111,0.21553398058252426
27242,NORTH IH 35 SERVICE ROAD AT,109,0.21165048543689322
3557,12000 N IH35 SVC,109,0.21165048543689322
1832,1100 BLK AIRPORT,109,0.21165048543689322
3607,12000 S IH 35,109,0.21165048543689322
3160,1200 BLOCK DEAN KEETON,107,0.20776699029126214
22189,8800 ANDERSON MILL RD,107,0.20776699029126214
4797,13000 N 183,105,0.20388349514563106
22188,8800 ANDERSON MILL,105,0.20388349514563106
5531,13600 RESEARCH BLVD,104,0.20194174757281552
6193,14000 N US 183,101,0.19611650485436893
639,1000 BLOCK EAST DEAN KEETON,99,0.19223300970873786
11755,3400 E MLK,98,0.19029126213592232
5619,13700 N US 183 HWY SB,98,0.19029126213592232
13621,4300 S 1ST,97,0.1883495145631068
5068,13200 N US 183 SVRD,96,0.18640776699029127
13954,4500 N IH 35,96,0.18640776699029127
7558,1800 E RIVERSIDE DR,94,0.1825242718446602
13106,4000 BLOCK SOUTH US HIGHWAY 183,94,0.1825242718446602
17361,6000 N MOPAC EXPY,94,0.1825242718446602
22144,8700 N MOPAC EXPY,93,0.18058252427184465
5614,13700 N US 183,92,0.1786407766990291
288,100 BLOCK WEST BRAKER LANE,89,0.17281553398058253
4958,13100 S IH 35,88,0.170873786407767
3931,12300 RIATA TRACE PKWY,87,0.16893203883495145
449,100 S 1ST ST,86,0.1669902912621359
19455,7100 E 290 SVRD WB,86,0.1669902912621359
12284,3700 MANCHACA RD,85,0.1650485436893204
1849,1100 BLOCK AIRPORT BOULEVARD,83,0.16116504854368932
3163,1200 BLOCK DEAN KEETON STREET,83,0.16116504854368932
5438,13600 BLOCK NORTH IH 35,83,0.16116504854368932
20283,7600 E BEN WHITE BLVD WB,82,0.15922330097087378
5199,13300 S IH 35,81,0.15728155339805824
3448,1200 WINSTED LN,80,0.1553398058252427
2214,11000 N IH 35,80,0.1553398058252427
